target,dataset,model,feature,times_selected,selection_rate
2-clases,bow,svc,funcionamiento_delta_cum_s8,1,0.2
2-clases,bow,svc,impiden_delta_cum_s3,1,0.2
2-clases,bow,svc,transferencias_diff_s8,1,0.2
2-clases,bow,svc,público_delta_cum_s8,1,0.2
2-clases,bow,svc,discusión_std_s8,1,0.2
2-clases,bow,svc,vinculado_mean_s8,1,0.2
2-clases,bow,svc,vinculado_std_s8,1,0.2
2-clases,bow,svc,víctimas corrupción_delta_cum_s8,1,0.2
2-clases,bow,svc,auditoría interna_cum_s5,1,0.2
2-clases,bow,svc,políticas_delta_cum_s8,1,0.2
2-clases,bow,svc,law_mean_s8,1,0.2
2-clases,bow,svc,cohecho pasivo_delta_cum_s8,1,0.2
2-clases,bow,svc,adoptado_diff_s8,1,0.2
2-clases,bow,svc,incluye_mean_s8,1,0.2
2-clases,bow,svc,discusión_mean_s8,1,0.2
2-clases,bow,svc,ambientales_std_s8,1,0.2
2-clases,bow,svc,lógica_std_s8,1,0.2
2-clases,bow,svc,centrales_std_s8,1,0.2
2-clases,bow,svc,corrupción_delta_cum_s8,1,0.2
2-clases,bow,svc,objetivo_delta_cum_s8,1,0.2
2-clases,bow,svc,ministerio gobernación_cum_s8,1,0.2
2-clases,bow,svc,entrada_delta_cum_s8,1,0.2
2-clases,bow,svc,utilizando_delta_cum_s8,1,0.2
2-clases,bow,svc,vemos_std_s8,1,0.2
2-clases,bow,svc,centrales_mean_s8,1,0.2
2-clases,bow,svc,reciben_cum_s3,1,0.2
2-clases,bow,svc,interamericana_mean_s8,1,0.2
2-clases,bow,svc,cada_std_s8,1,0.2
2-clases,bow,svc,corte interamericana_diff_s8,1,0.2
2-clases,bow,svc,organiza_delta_cum_s8,1,0.2
2-clases,bow,svc,vemos_mean_s8,1,0.2
2-clases,bow,svc,poder judicial_delta_cum_s8,1,0.2
2-clases,bow,svc,law_std_s8,1,0.2
2-clases,bow,svc,interamericana_diff_s8,1,0.2
2-clases,bow,svc,abogados_mean_s8,1,0.2
2-clases,bow,svc,anterior_delta_cum_s8,1,0.2
2-clases,bow,svc,circunstancias_mean_s8,1,0.2
2-clases,bow,svc,pasivo_delta_cum_s8,1,0.2
2-clases,bow,svc,similar_delta_cum_s8,1,0.2
2-clases,bow,svc,distintos_delta_cum_s8,1,0.2
2-clases,bow,svc,multidimensional_cum_s8,1,0.2
2-clases,bow,svc,lógica_mean_s8,1,0.2
2-clases,bow,svc,interamericana_std_s8,1,0.2
2-clases,bow,svc,clientelares_cum_s8,1,0.2
2-clases,bow,svc,matices_delta_cum_s8,1,0.2
2-clases,bow,svc,team_cum_s6,1,0.2
2-clases,bow,svc,esfera_std_s3,1,0.2
2-clases,bow,svc,nación_delta_cum_s8,1,0.2
2-clases,bow,svc,nacional_mean_s8,1,0.2
2-clases,bow,svc,todas_mean_s8,1,0.2
2-clases,bow,svc,información_delta_cum_s8,1,0.2
2-clases,bow,svc,circunstancias_std_s8,1,0.2
2-clases,bow,svc,analizan_delta_cum_s8,1,0.2
2-clases,bow,svc,programme_cum_s8,1,0.2
2-clases,bow,svc,programme_cum_s9,1,0.2
2-clases,bow,svc,programme_cum_s10,1,0.2
2-clases,bow,svc,clave_delta_cum_s8,1,0.2
2-clases,bow,svc,grandes empresas_std_s8,1,0.2
2-clases,bow,svc,análisis_delta_cum_s8,1,0.2
2-clases,bow,svc,nacional_delta_cum_s8,1,0.2
2-clases,bow,svc,poder judicial_mean_s8,1,0.2
2-clases,bow,svc,grandes empresas_mean_s8,1,0.2
2-clases,bow,svc,determinado_mean_s8,1,0.2
2-clases,bow,svc,abogados_std_s8,1,0.2
2-clases,bow,svc,víctimas corrupción_mean_s8,1,0.2
2-clases,bow,svc,sexuales_std_s8,1,0.2
2-clases,bow,svc,corrupción forma_mean_s8,1,0.2
2-clases,bow,svc,corrupción forma_std_s8,1,0.2
