target,dataset,model,n_samples,n_features,n_classes,n_folds,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,accuracy_all_folds,f1_all_folds,best_params_folds
2-clases,bow,svc,18,10,2,3,0.888888888888889,0.0785674201318386,0.8857142857142857,0.08081220356417688,"[0.8333333333333334, 0.8333333333333334, 1.0]","[0.8285714285714285, 0.8285714285714285, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}]"
3-clases,forms,logreg,18,18,3,3,0.6666666666666666,0.0,0.6259259259259259,0.04996569467863722,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0.6555555555555556, 0.5555555555555555, 0.6666666666666666]","[{'clf__C': 10, 'clf__class_weight': 'balanced', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': None, 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 15}]"
3-clases,forms,svc,18,18,3,3,0.6111111111111112,0.20786985482077452,0.6074074074074074,0.15852544117802003,"[0.3333333333333333, 0.6666666666666666, 0.8333333333333334]","[0.4444444444444444, 0.5555555555555555, 0.8222222222222223]","[{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 15}]"
3-clases,robertuito,logreg,18,420,3,3,0.2222222222222222,0.07856742013183861,0.17407407407407405,0.07388865682688889,"[0.3333333333333333, 0.16666666666666666, 0.16666666666666666]","[0.27777777777777773, 0.1111111111111111, 0.13333333333333333]","[{'clf__C': 10, 'clf__class_weight': None, 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': None, 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 15}]"
3-clases,robertuito,svc,18,420,3,3,0.27777777777777773,0.07856742013183861,0.23703703703703702,0.08904307614941709,"[0.3333333333333333, 0.16666666666666666, 0.3333333333333333]","[0.3, 0.1111111111111111, 0.3]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 20}]"
3-clases,bow,logreg,18,10,3,3,0.7777777777777778,0.07856742013183865,0.7185185185185184,0.11665196850387874,"[0.8333333333333334, 0.6666666666666666, 0.8333333333333334]","[0.7777777777777777, 0.5555555555555555, 0.8222222222222223]","[{'clf__C': 10, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}]"
3-clases,bow,svc,18,10,3,3,0.7222222222222222,0.07856742013183865,0.6211640211640211,0.1425471848070648,"[0.6666666666666666, 0.6666666666666666, 0.8333333333333334]","[0.5079365079365079, 0.5333333333333333, 0.8222222222222223]","[{'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}]"
4-clases,forms,logreg,18,18,4,3,0.5,0.13608276348795434,0.4583333333333333,0.05892556509887896,"[0.6666666666666666, 0.3333333333333333, 0.5]","[0.5416666666666666, 0.41666666666666663, 0.41666666666666663]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 15}]"
4-clases,forms,svc,18,18,4,3,0.49999999999999994,0.13608276348795434,0.4777777777777777,0.18083311998621993,"[0.5, 0.6666666666666666, 0.3333333333333333]","[0.4583333333333333, 0.7083333333333333, 0.26666666666666666]","[{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}]"
4-clases,robertuito,logreg,18,420,4,3,0.27777777777777773,0.07856742013183861,0.22777777777777777,0.08507440461729751,"[0.16666666666666666, 0.3333333333333333, 0.3333333333333333]","[0.125, 0.3333333333333333, 0.225]","[{'clf__C': 0.1, 'clf__class_weight': None, 'select__k': 15}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}]"
4-clases,robertuito,svc,18,420,4,3,0.27777777777777773,0.07856742013183861,0.196031746031746,0.09221559684421798,"[0.16666666666666666, 0.3333333333333333, 0.3333333333333333]","[0.07142857142857142, 0.29166666666666663, 0.225]","[{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 20}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}]"
4-clases,bow,logreg,18,10,4,3,0.4444444444444444,0.15713484026367722,0.31666666666666665,0.15693829879806148,"[0.3333333333333333, 0.3333333333333333, 0.6666666666666666]","[0.25, 0.16666666666666666, 0.5333333333333333]","[{'clf__C': 1, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'select__k': 10}]"
4-clases,bow,svc,18,10,4,3,0.3333333333333333,0.13608276348795434,0.23611111111111108,0.08561686115234689,"[0.3333333333333333, 0.16666666666666666, 0.5]","[0.25, 0.125, 0.3333333333333333]","[{'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}]"
